Plant Scientific Name stringFilter,Plant Common Name stringFilter,Image imageType,Contaminants Csvfilteror,Accumlation Quantity (if known) csvFilterOr,Accumlation Type (if known) csvFilterOr,Source for Phyto ,Notes ,Search All stringFilter - Hidden
Cyperus conglomeratus,,,"Cadmium, Copper, Lead, Arsenic",Accumulator,Phytostabilization,Abbas ZK. Rhizospheric soil enzyme activities and phytominimg potential of Aeluropus lagopoides and Cyperus conglomeratus growing in contaminated soils at the banks of artificial lake of reclaimed wastewater. Int J Phytoremediation. 2017;19(11):1017-1022. doi:10.1080/15226514.2017.1319326,,
Cytisus multiflorus,White Broom,,"Arsenic, Lead, Copper, Manganese, Zinc",Accumulator,Phytostabilization,"(Phyto Textbook) Gomes, P., Valente, T., Pamplona, J., Sequeira Braga, M. A., Pissarra, J., Grande Gil, J.A., and De La Torre, M.L. 2013. Metal uptake by native plants and revegetation potential of mining sulfide-rich waste-dumps. International Journal of Phytoremediation 16, pp. 1087-1103.",,
Cytisus scoparius,Scoth Broom,,"Heavy Metals, Hydrocarbons",Accumulator,,"(Phyto Textbook) Macci, C., Doni, S., Peruzzi, E., Bardella, S., Filippis, G., Ceccanti, B., and Masciandaro, G. 2012. A real-scale soil phytoremediation. Biodegredation 24 (4) pp. 521-540",,
Dactylis glomerata orchadgeus,Cat Grass,,Herbicide,Tolerant,,"Buono DD, Pannacci E, Bartucca ML, Nasini L, Proietti P, Tei F. Use of two grasses for the phytoremediation of aqueous solutions polluted with terbuthylazine. Int J Phytoremediation. 2016;18(9):885-891. doi:10.1080/15226514.2016.1156633",,
Dendrobium taurinum,Orchid,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/9c4302fe-7f3f-477e-b919-9e44d8dab63d/Orchid.jpg?content-type=image%2Fjpeg,"Acetone, Ammonia, Benzene, Chloroform, Formaldehyde, Toluene, Xylene",N/A,N/A,"1) Wolverton, B.C. (1996) How to Grow Fresh Air. New York: Penguin Books.
 2) B. C. Wolverton and J.D. Wolverton. ""Plants and Soil Microorganisms: Removal of Formaldehyde, Xylene, Ammonia From the Indoor Environment"". Retrieved 2011-08-27.
 3) http://www.flickr.com/photos/petereed/409995461/ (Photo Source)",This plant requires partial sun. Hardiness Zone 4Ã¢â‚¬â€œ9,
Deschampsia caespitosa,Tufted Hairgrass,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/2c172c0b-63f5-461c-9588-ffbc399bc75a/TuftedHairgrass.jpg?content-type=image%2Fjpeg,"Cadmium, Chromium, Copper, Lead",N/A,N/A,"1) April 2003, Jeremiah Knuth, Department of Civil Engineering, Colorado State University.http://rydberg.biology.colostate.edu/Phytoremediation/2003/Knuth/home.htm
 2) McCutcheon, S.C., & Schnoor, J.L. (Eds.). (2003). Phytoremediation: Transformation and Control of Contaminants. Hoboken, New Jersey: Wiley-Interscience, Inc. http://www.superorg.net/archive/proposal/plant%20species%20phyto.pdf
 3)http://www.flickr.com/photos/plant_diversity/3862681170/(Photo Source)","Growth Rate: Moderate, Mature height of 3.4Ã¢â‚¬â„¢. Duration, Growth Habit: Perennial, Graminoid. Drought Tolerance: Low. Moisture Use: Medium. Salinity Tolerance: Low. Shade Tolerance: Intolerant. Habitat: Marshy grassland, prefers areas of poorly-drain",
Dietes irioides,Fortnight Lily,,Petroleum,Tolerant,N/A,"1) Analysis of Phytoscapes Species for BP Retail Sites. Kim Tsao. David Tsao, Ph.D. BP Group Environmental Management Company. 28 March 2003",Shrub. Variety: (Moraea) bicolor. Hardy in zones 8 - 10,
Digitalis purpurea,Common Foxglove,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/a49cd58e-ab9f-4bd0-b916-a307efc9be1e/CommonFoxglove.jpg?content-type=image%2Fjpeg,Cadmium,N/A,Phytoextraction,"1) McCutcheon, S.C., & Schnoor, J.L. (Eds.). (2003). Phytoremediation: Transformation and Control of Contaminants. Hoboken, New Jersey: Wiley-Interscience, Inc. http://www.superorg.net/archive/proposal/plant%20species%20phyto.pdf
 2) http://www.flickr.com/photos/zeneecec/3611840858/(Photo Source)",Hardiness zone 4-9,
Distichlis spicata,Inland Saltgrass,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/d7805f76-dee0-4cea-a766-96a58d981783/InlandSaltgrass.jpg?content-type=image%2Fjpeg,"Cadmium, Copper, Lead",Accumulator,N/A,"1) USDA NRCS Plant Materials Center, Manhattan, Kansas & Kansas State University, Forestry Researchhttp://plants.usda.gov/factsheet/pdf/fs_sani.pdf
 2) April 2003, Jeremiah Knuth, Department of Civil Engineering, Colorado State University.http://rydberg.biology.colostate.edu/Phytoremediation/2003/Knuth/home.htm
 3) McCutcheon, S.C., & Schnoor, J.L. (Eds.). (2003). Phytoremediation: Transformation and Control of Contaminants. Hoboken, New Jersey: Wiley-Interscience, Inc. http://www.superorg.net/archive/proposal/plant%20species%20phyto.pdf
 4)http://www.flickr.com/photos/plant_diversity/3919028223/(Photo Source)","Interesting Qualities: Provide great nesting grounds and food for waterfowl, its thick entangled roots great for shoreline protection. Growth Rate: Slow, mature height of 1.1Ã¢â‚¬â„¢. Duration, Growth Habit: Perennial, Graminoid. Drought Tolerance: Medium",
"Dracaena deremensis ""Warneckei""",Warneckei,,"Benzene, Carbon Monoxide, Formaldehyde, Trichloroethylene (Tce) Â And By-Products",N/A,N/A,1) B.C Wolverton Ph.D -Principal investigator. NASA. http://ntrs.nasa.gov/archive/nasa/casi.ntrs.nasa.gov/19930073077_1993073077.pdf,"Light requirements: medium. Water requirements: medium, can handle tough drought spells. USDA Zone 11",
Dracaena marginata,Red-Edged Dracaena,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/645dab6c-29f1-4c1b-a26e-e2e548f7e10c/RedEdgedDracaena.jpg?content-type=image%2Fjpeg,"Benzene, Carbon Monoxide, Formaldehyde, Trichloroethylene (Tce) Â And By-Products",N/A,N/A,1) B.C Wolverton Ph.D -Principal investigator. NASA. http://ntrs.nasa.gov/archive/nasa/casi.ntrs.nasa.gov/19930073077_1993073077.pdf 2) http://www.flickr.com/photos/33623636@N08/5206363496/(Photo Source),"Light: medium. Water: medium, but can handle drought. USDA hardiness zones: 10B through 11",
Dryopteris erythrosora,Autumn Fern,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/b5efc997-40b7-4e38-92e7-c32813982e6c/AutumnFern.jpg?content-type=image%2Fjpeg,"Copper, Lead, Mercury, Zinc",N/A,N/A,"1) Fryer, Janet L. 2011. Microstegium vimineum. In: Fire Effects Information System, [Online]. U.S. Department of Agriculture, Forest Service, Rocky Mountain Research Station, Fire Sciences Laboratory (Producer). Available: http://www.fs.fed.us/database/feis/ [2011, December 7]
 2) http://www.flickr.com/photos/babbagecabbage/129201317/ (Photo Source)",Hardiness zones 5-9. Herbaceous Fern. Shade loving. Slow growth rate. Spreading growth habit. Green foliage. Does not flower. Easy care,
Echinodorus cordifolius L. Griseb,"Spade-Leaf Sword, Creeping Burhead",,"Mono, Di, Triethyleneglycol",Accumulator,Phytodegradation,"Teamkao P, Thiravetyan P. Phytoremediation of Mono-, Di-, and Triethylene Glycol by Echinodorus cordifolius L. Griseb. Int J Phytoremediation. 2015;17(1-6):93-100. doi:10.1080/15226514.2013.810579",,
Eichhornia crassipes,Common Water Hyacinth,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/1659016d-9105-45f8-9438-2748ad38cc40/CommonWaterHyacinth.jpg?content-type=image%2Fjpeg,"Cadmium, Cesium, Chromium, Copper, Lead, Mercury, Strontium, Uranium, Zinc","Hyperaccumulator, Accumulator",Rhizofiltration,"1) McCutcheon, S.C., & Schnoor, J.L. (Eds.). (2003). Phytoremediation: Transformation and Control of Contaminants. Hoboken, New Jersey: Wiley-Interscience, Inc. http://www.superorg.net/archive/proposal/plant%20species%20phyto.pdf
 2) http://www.flickr.com/photos/cq-biker/4895999270/(Photo Source)","Comes from India; emergent species. Pantropical/Subtropical. Plants sprayed with 2,4-D may accumulate lethal doses of nitrates. 'The troublesome weed' Ã¢â‚¬â€œ hence an excellent source of bioenergy. Roots naturally absorb pollutants, some organic compoun",
Eichhoria crassipes,Water Hyacinth,,"Magnesium, Iron, Contaminants Of Concern (Coc)",Accumulator,"Phytoextraction, Phytostabilization","1) Mercado-Borrayo BM, Cram Heydrich S, PÃ©rez IR, HernÃ¡ndez Quiroz M, De LeÃ³n Hill CP. Organophosphorus and Organochlorine Pesticides Bioaccumulation by Eichhornia crassipes in Irrigation Canals in an Urban Agricultural System. Int J Phytoremediation. 2015;17(7):701-708. doi:10.1080/15226514.2014.964841
 2) Romanova TE, Shuvaeva OV, Belchenko LA. Phytoextraction of trace elements by water hyacinth in contaminated area of gold mine tailing. Int J Phytoremediation. 2016;18(2):190-194. doi:10.1080/15226514.2015.1073674
 3) Pandey VC. Phytoremediation efficiency of Eichhornia crassipes in fly ash pond. Int J Phytoremediation. 2016;18(5):450-452. doi:10.1080/15226514.2015.1109605
 4) Hazra M, Avishek K, Pathak G. Phytoremedial Potential of Typha latifolia, Eichornia crassipes and Monochoria hastata found in Contaminated Water Bodies Across Ranchi City (India). International Journal of Phytoremediation. 2015 ;17(9):835-840. DOI: 10.1080/15226514.2014.964847.",,
Elaegnus angustifolia,Russian Olive,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/ac7f93b6-21f8-4217-9586-e983dd53714d/RussianOlive.jpg?content-type=image%2Fjpeg,Trichloroethylene (Tce) Â And By-Products,N/A,N/A,"1) U.S Environmental Protection Agency (EPA). Phytoremediation field studies database for chlorinated solvents, pesticides, explosives, and metals. http://www.afcee.af.mil/shared/media/document/AFD-071130-018.pdf
 2) http://www.flickr.com/photos/urtica/19751137/ (Photo Source)","Groundwater flow patterns are complex, but to date no significant groundwater depression as a result of evapotranspiration of the trees has developed. USDA Hardiness Zone: 3 to 8",
Eleusine coracana,Finger Millet,,Chromium,Tolerant,Phytoextraction,"Padmapriya S, Murugan N, Ragavendran C, Thangabalu R, Natarajan D. Phytoremediation potential of some agricultural plants on heavy metal contaminated mine waste soils, salem district, tamilnadu. Int J Phytoremediation. 2016;18(3):288-294. doi:10.1080/15226514.2015.1085832",,
Elodea canadensis,Pondweed,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/b24c4b81-2a71-4339-8883-367b5796c6b0/Pondweed.jpg?content-type=image%2Fjpeg,"Atrazine, Cadmium, Copper, Endosulfan Sulfate, Lead, Trichloroethylene (Tce) Â And By-Products",Accumulator,"Rhizodegradation, Phytofiltration","1) USDA NRCS Plant Materials Center, Manhattan, Kansas & Kansas State University, Forestry Researchhttp://plants.usda.gov/factsheet/pdf/fs_sani.pdf
 2) Earl J.S Rook. Fens of Yodeler Creek, BWCAW. http://www.rook.org/earl/bwca/nature/aquatics/
 3) April 2003, Jeremiah Knuth, Department of Civil Engineering, Colorado State University.http://rydberg.biology.colostate.edu/Phytoremediation/2003/Knuth/home.htm
 4) McCutcheon, S.C., & Schnoor, J.L. (Eds.). (2003). Phytoremediation: Transformation and Control of Contaminants. Hoboken, New Jersey: Wiley-Interscience, Inc. http://www.superorg.net/archive/proposal/plant_species_phyto.pdf
 5) http://tinyurl.com/84ceb3o (Photo Source) 
 6) Picco, Patricio, et al. Arsenic Species Uptake and Translocation in Elodea CanadensisÂ International Journal of Phytoremediation, vol. 21, no. 7, 2019, pp. 693-698., doi:10.1080/15226514.201155658","Also Known as American Waterweed or Canadian Waterweed. Type: Submergent. Water Use: High Light Requirement: Sun. CaCO3 Tolerance: High Bloom Color: White. Provides shelter for small fishes and aquatic invertebrates. Rapid, lengths of 8""40",
Elsholtzia argyi,Mint Family,,Copper,"Accumulator, Hyperaccumulator","Phytotolerant, Phytoextraction","1) Li S, Yang W, Yang T, Chen Y, Ni W. Effects of Cadmium Stress on Leaf Chlorophyll Fluorescence and Photosynthesis of Elsholtzia argyi--A Cadmium Accumulating Plant. Int J Phytoremediation. 2015;17(1-6):85-92. doi:10.1080/15226514.2013.828020
 2) Guan M, Jin Z, Li J, Pan X, Wang S, Li Y. Effect of simulated climate warming on the morphological and physiological traits of Elsholtzia haichowensis in copper contaminated soil. Int J Phytoremediation. 2016;18(4):368-377. doi:10.1080/15226514.2015.1109591",,
Elymus canadensis,Canadian Wild Rye,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/164e4c58-2bc5-448e-8d93-bb643389013d/CanadianWildRye.jpg?content-type=image%2Fjpeg,"Hydrocarbons, Polycyclic Aromatic Hydrocarbon (Pah)",Accumulator,Rhizodegradation,"1) http://tinyurl.com/7uhtkzj (Photo Source)
 2) McCutcheon, S.C., & Schnoor, J.L. (Eds.). (2003). Phytoremediation: Transformation and Control of Contaminants. Hoboken, New Jersey: Wiley-Interscience, Inc. 
 3) USDA NRCS Plant Materials Center, Manhattan, Kansas & Kansas State University, Forestry Researchhttp://plants.usda.gov/factsheet/pdf/fs_sani.pdf
 4) Phytoremediation of RadioÃ‚Â¬nuclides. Dushenkov et al. 1998, Negri and Hinchman 2000, Huang et al. 1998, et al. 1997, Negri and Hinchman 2000, Dushenkov et al. 1998. http://rydberg.biology.colostate.edu/Phytoremediation/2000/Lawra/BZ580.htm
 5) McCutcheon, S.C., & Schnoor, J.L. (Eds.). (2003). Phytoremediation: Transformation and Control of Contaminants. Hoboken, New Jersey: Wiley-Interscience, Inc. http://www.superorg.net/archive/proposal/plant%20species%20phyto.pdf","In combination with other grasses, was shown to reduce PAHÃ¢â‚¬â„¢s in soils. Growth Rate: Rapid, mature height of 3Ã¢â‚¬â„¢. Duration, Growth Habit: Perennial, Graminoid. Drought Tolerance: Medium. Moisture Use: Medium. Salinity Tolerance: Medium. Shade",
Eragrostis atrovirens,,,Petroleum Hydrocarbons,Accumulator/Tolerant,Phytodegradation,"Anyasi RO, Atagana HI. Profiling of plants at petroleum contaminated site for phytoremediation. Int J Phytoremediation. 2018;20(4):352-361. doi:10.1080/15226514.2017.1393386",,
Eragrostis bahiensis,Bahia Lovegrass,,"Arsenic, Cesium, Chromium, Lead, Manganese, Zinc",N/A,N/A,"1) Phytoremediation of RadioÃ‚Â¬nuclides. Dushenkov et al. 1998, Negri and Hinchman 2000, Huang et al. 1998, et al. 1997, Negri and Hinchman 2000, Dushenkov et al. 1998. http://rydberg.biology.colostate.edu/Phytoremediation/2000/Lawra/BZ580.htm","Glomus mosseae as chelating agent (amendment). It increases the surface area of the plan roots, allowing roots to acquire more nutrients, and water, therefore more available radionuclides are found in soil solution. Hardiness zone 6-10",
Erato polymnioides,,,"Lead, Zinc, Copper, Cadmium",Hyperaccumulator,,"Chamba I, Gazquez MJ, Selvaraj T, Calva J, Toledo JJ, Armijos C. Selection of a suitable plant for phytoremediation in mining artisanal zones. Int J Phytoremediation. 2016;18(9):853-860. doi:10.1080/15226514.2016.1156638",,
Erica andevalensis,Erica X Veitchii : Veitch's Heath,,Lead,Tolerant,Phytostabilization,"(Phyto Textbook) Mingorance, M., Leidi, E., Valdes, B., and Oliva, S. 2012. Evaluation of Lead Toxicity in Erica andevalensis as an Alternative Species for Revegetation of Contaminated Soils. International Journal of Phytoremediation 14 (2) pp. 174-185.",,
Erica arborea,Briar Root,,"Manganese, Lead (Highest Bf)",Accumulator,Phytostabilization,"(Phyto Textbook) Gomes, P., Valente, T., Pamplona, J., Sequeira Braga, M. A., Pissarra, J., Grande Gil, J.A., and De La Torre, M.L. 2013. Metal uptake by native plants and revegetation potential of mining sulfide-rich waste-dumps. International Journal of Phytoremediation 16, pp. 1087-1103.",,
Eucalyptus camaldulensis,River Red Gum Eucalyptus Tree,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/36789d71-abf9-4e80-8a7c-b4c1bc99227d/RiverRedGumEucalyptusTree.jpg?content-type=image%2Fjpeg,"Arsenic, Cadmium, Calcium, Lead, Manganese, Mercury, Nickel, Silver, Sodium",Accumulator,Phytostabilization,"1) Interstate Technology & Regulatory Council (ITRC). 2006. Planning and Promoting Ecological Reuse of Remediated Sites. ECO-2. Washington, D.C.: Ecological Land Reuse Team, Interstate Technology & Regulatory Council, www.itrcweb.org
 2) http://tinyurl.com/6lgga6y (Photo Source)
 3) (Phyto Textbook) Meeinkuirt, W., Pokethitiyook, P., Kruatrachue, M., Tanhan, P., and Chairyarat, R. 2012. Phytostabilization of a Pb-contaminated mine tailing by various tree species in pot and field trial experiments. International Journal of Phytoremediation 14 (9), pp. 925-938.
 4) Nirola R, Megharaj M, Aryal R, Naidu R. Screening of metal uptake by plant colonizers growing on abandoned copper mine in Kapunda, South Australia. Int J Phytoremediation. 2016;18(4):399-405. doi:10.1080/15226514.2015.1109599",High salinity. USDA zones 7 to 11,
Eucalyptus cladocalyx,Sugar Gum,,Saline Soil,Tolerant,,"Doronila AI, Forster MA. Performance measurement via sap flow monitoring of three eucalyptus species for mine site and dryland salinity phytoremediation. Int J Phytoremediation. 2015;17(1-6):101-108. doi:10.1080/15226514.2013.850466",,
Eucalyptus globulus,Southern Blue Gum,,"Cadmium, Mercury",Accumulator,"Phytostabilization, Phytoextraction","Luo J, Qi S, Peng L, Wang J. Phytoremediation efficiency OF CD by Eucalyptus globulus transplanted from polluted and unpolluted sites. Int J Phytoremediation. 2016;18(4):308-314. doi:10.1080/15226514.2015.1094446",,
Eucalyptus melliodora,"Yellow Box, Honey Box",,Saline Soil,Tolerant,,"Doronila AI, Forster MA. Performance measurement via sap flow monitoring of three eucalyptus species for mine site and dryland salinity phytoremediation. Int J Phytoremediation. 2015;17(1-6):101-108. doi:10.1080/15226514.2013.850466",,
Eucalyptus polybractea,Blue-Leaved Mallee,,Saline Soil,Tolerant,,"Doronila AI, Forster MA. Performance measurement via sap flow monitoring of three eucalyptus species for mine site and dryland salinity phytoremediation. Int J Phytoremediation. 2015;17(1-6):101-108. doi:10.1080/15226514.2013.850466",,
"Eucalyptus sideroxylon ""Rosea""",Red Iron Bark,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/738a73ff-fb63-433f-8be3-ef5e876f2731/RedIronBark.jpg?content-type=image%2Fjpeg,Trichloroethylene (Tce) Â And By-Products,N/A,N/A,,Hydraulic control. USDA zones 7 to 11,
Eucalyptus urograndis,Flooded Gum,,"Chlorobenzene, Benzene",Tolerant,"Rhizodegradation, Phytovolatilization, Phytodegradation","Barcellos D, Morris LA, Nzengung V, Moura T, Mantripragada N, Thompson A. Eucalyptus urograndis and Pinus taeda enhance removal of chlorobenzene and benzene in sand culture: A greenhouse study. Int J Phytoremediation. 2016;18(10):977-984. doi:10.1080/15226514.2016.1183565",,
Eugenia dysenterica,Cagaita,,"Zinc, Cadmium, Copper, Palladium",Tolerant,Accumulator,"Meyer ST, Castro SR, Fernandes MM, Soares AC, de Souza Freitas GA, Ribeiro E. Heavy-metal-contaminated industrial soil: Uptake assessment in native plant species from Brazilian Cerrado. Int J Phytoremediation. 2016;18(8):832-838. doi:10.1080/15226514.2016.1146224",,
Euonymus coloratus,Purple Leaf Wintercreeper,,Petroleum,Tolerant,N/A,"1) Analysis of Phytoscapes Species for BP Retail Sites. Kim Tsao. David Tsao, Ph.D. BP Group Environmental Management Company. 28 March 2003",Groundcover. hardiness zones: 4 - 9,
Euonymus japonicas cv. Aureomar,Japanese Euonymus,,Cadmium,,Phytostabilization,"Zeng P, Guo Z, Cao X, Xiao X, Liu Y, Shi L. Phytostabilization potential of ornamental plants grown in soil contaminated with cadmium. Int J Phytoremediation. 2018;20(4):311-320. doi:10.1080/15226514.2017.1381939",,
Euphorbia milii,Crown Of Thorns,,Chromium,Tolerant,Phytoaccumulation,"Ramana S, Biswas AK, Singh AB, et al. Tolerance of Ornamental Succulent Plant Crown of Thorns (Euphorbia milli) to Chromium and its Remediation. International Journal of Phytoremediation. 2015 ;17(1-6):363-368. DOI: 10.1080/15226514.2013.862203.",,
Excoecaria agallocha,Milk Mangrove,,"Cadmium, Zinc",Accumulator,,"Chowdhury R, Favas PJ, Pratas J, Jonathan MP, Ganesh PS, Sarkar SK. Accumulation of Trace Metals by Mangrove Plants in Indian Sundarban Wetland: Prospects for Phytoremediation. Int J Phytoremediation. 2015;17(9):885-894. doi:10.1080/15226514.2014.981244",,
Festuca arundinacea,Tall Fescue,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/25b3f065-28ad-4ed6-af71-f5d3a027f054/TallFescue.jpg?content-type=image%2Fjpeg,"Arsenic, Copper, Lead, Zinc",Accumulator,"Phytoextraction, Phytodegradation, Rhizodegradation, Phytostabilization","1) Christensen-Kirsh, K.M (1996). Phytoremediation and wastewater effluent disposal: Guidelines for landscape planners and designers. MasterÃ¢â‚¬â„¢s Project, Department of Landscape. University of Oregon. 
 2) Phytoremediation of RadioÃ‚Â¬nuclides. Dushenkov et al. 1998, Negri and Hinchman 2000, Huang et al. 1998, et al. 1997, Negri and Hinchman 2000, Dushenkov et al. 1998. http://rydberg.biology.colostate.edu/Phytoremediation/2000/Lawra/BZ580.htm
 3) http://www.flickr.com/photos/21933510@N07/4868322363/(Photo Source)
 4) Revegetation of Mining Waste Using Organic Soil Amendments and Evaluation of the Potential for Creating Attractive Nusiances for Wildlife. Abstract. 2001. Proceedings of the 2001 Conference on Environmental Research.
 5) Mcintosh, Patrick, et al. â€œBreakdown of Low-Level Total Petroleum Hydrocarbons (TPH) in Contaminated Soil Using Grasses and Willows.â€ International Journal of Phytoremediation, vol. 18, no. 7, 2015, pp. 656â€“663., doi:10.1080/15226514.2015.1109598.","Fescue is a hardy plant that will remove PCP well in the soil. Also helpful in uptake of nutrients: nitrogen, phosphorus, and potassium. Fescue is a hardy plant that will remove PCP well in the soil. USDA hardiness Zones 3 through 8
 
 6) Nissim WG, Hasbrou",
Festuca ovina,Sheeps Fescue,,Cadmium,Accumulator,"Phytoextraction, Phytostabilization","Majewska M, Jaroszuk-?cise? J. Mobilization of cadmium from Festuca ovina roots and its simultaneous immobilization by soil in a root-soil-extractant system (in vitro test). Int J Phytoremediation. 2017;19(8):701-708. doi:10.1080/15226514.2017.1284744",,
Festuca Ovina - Azay,Blue Sheep Fescue,,Total Petroleum Hydrocarbons,,Rhizodegradation,"Mcintosh, Patrick, et al. â€œBreakdown of Low-Level Total Petroleum Hydrocarbons (TPH) in Contaminated Soil Using Grasses and Willows.â€ International Journal of Phytoremediation, vol. 18, no. 7, 2015, pp. 656â€“663., doi:10.1080/15226514.2015.1109598.",,
Festuca rubra,Red Fescue,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/577bcd0d-b0c5-421f-a6f2-242db8b127bb/RedFescue.jpg?content-type=image%2Fjpeg,"Cesium, Nitrogen, Phosphorus, Toxin
 Polycyclic Aromatic Hydrocarbon (Pah), Potassium",N/A,"Rhizodegradation, Phytoextraction","1) McCutcheon, S.C., & Schnoor, J.L. (Eds.). (2003). Phytoremediation: Transformation and Control of Contaminants. Hoboken, New Jersey: Wiley-Interscience, Inc. http://www.superorg.net/archive/proposal/plant%20species%20phyto.pdf
 2) Christensen-Kirsh, K.M (1996). Phytoremediation and wastewater effluent disposal: Guidelines for landscape planners and designers. MasterÃ¢â‚¬â„¢s Project, Department of Landscape. University of Oregon. 
 3) http://www.flickr.com/photos/21933510@N07/4868935876/(Photo Source)","Introduced perennial grass common in the NW. Studies have shown enhanced degradation of recalcitrant PAHÃ¢â‚¬â„¢s. Also helpÃ‚Â¬ful in uptake of nitrogen, phosphorus, and potassium. hardiness zones 1 through 7,",
Ficus elastica,Rubber Plant,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/900341fc-be86-4a9a-8c52-fca0485519d9/RubberPlant.jpg?content-type=image%2Fjpeg,Formaldehyde,Hyperaccumulator,N/A,"1) Plants ""Clean"" Air Inside Our Homes (kilde NASA)
 2) Wolverton, B.C. (1996) How to Grow Fresh Air. New York: Penguin Books.
 3) http://www.flickr.com/photos/adaduitokla/5980061421/ (Photo Source)",Water loving plant and can grow in low light. USDA hardiness zones: 10 through 11,
Ficus benjamina,Weeping Fig,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/02867948-fcaf-4c47-8726-0ee59d4457bd/WeepingFig.jpg?content-type=image%2Fjpeg,"Formaldehyde, Toluene, Xylene",N/A,N/A,"1) Plants ""Clean"" Air Inside Our Homes (kilde NASA)
 2) http://www.flickr.com/photos/brisbanecitycouncil/5156253392/(Photo Source)
 3) Wolverton, B.C. (1996) How to Grow Fresh Air. New York: Penguin Books.
 4) B. C. Wolverton and J.D. Wolverton. ""Plants and Soil Microorganisms: Removal of Formaldehyde, Xylene, Ammonia From the Indoor Environment"". Retrieved 2011-08-27.",USDA hardiness zones: 10B through 11,
Ficus pumila,Creeping/Climbing Fig,,Petroleum,Tolerant,N/A,"1) Analysis of Phytoscapes Species for BP Retail Sites. Kim Tsao. David Tsao, Ph.D. BP Group Environmental Management Company. 28 March 2003",Vine. Hardiness zone 8-11.,
Firmiana simplex,Chinese Parasol Tree,,Cadmium,Accumulator/Tolerant,,"Kang W, Bao J, Zheng J, Xu F, Wang L. Phytoremediation of heavy metal contaminated soil potential by woody plants on Tonglushan ancient copper spoil heap in China. Int J Phytoremediation. 2018;20(1):1-7. doi:10.1080/15226514.2014.950412",,
Fraxinus,Ash,,Polychlorinated Biphenyl (Pcb),N/A,Rhizodegradation,"1) Leigh, M.B., J. Fletcher, D.P. Nagle, P. Prouzova, M. Mackova and T. Macek (2003) Rhizoremediation of PCBS: Mechanistic and Field Investigations",,
Fraxinus pennsylvanica,Green Ash,,Petroleum,Tolerant,N/A,"1) Analysis of Phytoscapes Species for BP Retail Sites. Kim Tsao. David Tsao, Ph.D. BP Group Environmental Management Company. 28 March 2003",Tree. Variety Patmore. Hardiness Zones: Zones 2 - 9,
Furcraea gigantea vent.,Mauritius Hemp,,Chromium,Accumulator,Phytostabilization,"Ramana S, Biswas AK, Singh AB, Ahirwar NK, Prasad RD, Srivastava S. Potential of Mauritius Hemp (Furcraea gigantea Vent.) for the Remediation of Chromium Contaminated Soils. Int J Phytoremediation. 2015;17(7):709-715. doi:10.1080/15226514.2014.964842",,
Gamblea innovans,,,Zinc,Accumulator,,"Sakurai M, Tomioka R, Hokura A, Terada Y, Takenaka C. Distributions of cadmium, zinc, and polyphenols in Gamblea innovans. Int J Phytoremediation. 2019;21(3):217-223. doi:10.1080/15226514.2018.1524840",,
Gerbera jamesonii,Gerbera Daisy,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/f2440d96-3af8-4a04-8674-50a1778aa5bc/GerberaDaisy.jpg?content-type=image%2Fjpeg,"Benzene, Formaldehyde, Trichloroethylene (Tce) Â And By-Products",Hyperaccumulator,N/A,"1) http://www.colostate.edu/Depts/CoopExt/4DMG/Plants/clean.htm
 2)Plants ""Clean"" Air Inside Our Homes (kilde NASA)
 3) http://www.flickr.com/photos/dave_fisher/5530457626/ (Photo Source)",USDA zones 9-11,
